Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
E4M3,96,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,96,128,64,0,1311,1300,99.16,1311,9.76,1296,128,9.88,384,1096,629,4,32,0,1129
E4M3,96,128,96,0,1984,1973,99.45,1984,6.45,1969,128,6.50,768,1736,1430,7,59,0,1796
E4M3,96,128,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E3M2,32,64,64,0,600,589,98.17,600,21.33,585,128,21.88,64,456,194,0,0,0,457
E3M2,32,64,96,0,774,763,98.58,774,16.54,759,128,16.86,128,584,362,1,9,0,594
E3M2,32,128,64,0,741,730,98.52,741,17.27,726,128,17.63,128,584,335,0,0,0,585
E3M2,32,128,96,0,910,899,98.79,910,14.07,895,128,14.30,256,712,626,1,9,0,722
E3M2,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E3M2,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E3M2,64,128,64,0,1039,1028,98.94,1039,12.32,1024,128,12.50,256,840,492,2,16,0,857
E3M2,64,128,96,0,1447,1436,99.24,1447,8.85,1432,128,8.94,512,1224,1028,4,34,0,1259
E2M3,32,64,64,0,600,589,98.17,600,21.33,585,128,21.88,64,456,194,0,0,0,457
E2M3,32,64,96,0,774,763,98.58,774,16.54,759,128,16.86,128,584,362,1,9,0,594
E2M3,32,128,64,0,741,730,98.52,741,17.27,726,128,17.63,128,584,335,0,0,0,585
E2M3,32,128,96,0,910,899,98.79,910,14.07,895,128,14.30,256,712,626,1,9,0,722
E2M3,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E2M3,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,64,128,64,0,1039,1028,98.94,1039,12.32,1024,128,12.50,256,840,492,2,16,0,857
E2M3,64,128,96,0,1447,1436,99.24,1447,8.85,1432,128,8.94,512,1224,1028,4,34,0,1259
E2M1,32,64,64,0,592,581,98.14,592,21.62,577,128,22.18,64,456,194,0,0,0,457
E2M1,32,64,96,0,752,741,98.54,752,17.02,737,128,17.37,128,584,348,1,9,0,594
E2M1,32,128,64,0,734,723,98.50,734,17.44,719,128,17.80,128,584,334,0,0,0,585
E2M1,32,128,96,0,892,881,98.77,892,14.35,877,128,14.60,256,712,614,1,9,0,722
E2M1,64,64,64,0,885,874,98.76,885,14.46,870,128,14.71,128,712,282,2,16,0,729
E2M1,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,64,128,64,0,1022,1011,98.92,1022,12.52,1007,128,12.71,256,840,481,2,16,0,857
E2M1,64,128,96,0,1429,1418,99.23,1429,8.96,1414,128,9.05,512,1224,1016,4,34,0,1259
